,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
SLV_FY_M_01,-11.14685838,3.791930553,7.742327003,-14.75557816,-0.765729489,0.630726766,0.426940353,0.262765321,-0.408352772,0.619234423,0.866259881,-0.155125873,0.135715747,4.55741978,-1.73734628,0.4387904,-0.493343602,1.000179769,1.232037582,0.316687846,3.459547359,-0.088837752,7.386493053,3.406415563,-1.169737532,2.890595203,-1.157560702,-0.662459302,0.473876748,0.149884407
SLV_FY_M_02,-10.93696544,3.819490584,7.785983394,-14.5605564,-0.774845513,0.357453486,-0.269632978,0.24314944,-0.873598618,-0.044941952,0.618223787,-0.315015875,-0.005202336,3.723286868,-0.78149638,0.35454442,-0.122218835,0.171231908,-0.048269525,0.381292898,3.473928992,0.109635848,7.296960095,3.487103089,-1.642120902,1.415158636,-0.187852254,-0.330310859,0.56356595,0.360757077
SLV_FY_M_03,-11.13783094,3.858343791,7.695278893,-14.80558316,-0.842911602,-0.316010552,-0.995891786,0.16109772,0.000370142,-1.204980707,-0.074215359,-0.051256956,-0.334430011,0.121710894,0.218711875,-0.295972635,0.092854066,-0.566817546,-1.360071638,0.17897525,1.73425898,-0.424959165,4.474034419,2.627820094,-1.206340336,-0.23824362,1.66930012,0.507676126,0.687885937,0.803062734
SNM_FY_M_01,-10.92018551,3.966517504,8.54267595,-15.77474007,-0.804459699,0.682384796,0.697546238,-0.745674824,0.282467527,-0.579866186,-0.163806325,0.510787296,-0.229804797,-0.776281702,0.151459969,-0.208749157,-0.04441316,-0.319118767,-0.433291246,-0.523394538,-1.27630093,0.050883767,-2.229796989,-0.960929893,0.437925594,-1.09492064,0.385572884,0.457264221,0.035304038,-0.067657341
SNM_FY_M_02,-11.53357438,4.017808249,8.715433574,-16.63987333,-0.824300442,1.283565937,1.857762251,-0.639449758,0.48664304,0.759988348,0.063546413,0.625183077,0.415786454,0.269805442,-0.60914744,0.547429168,-0.622456675,0.820745727,1.799348724,-0.138796555,-0.433625216,0.300533146,-1.219486408,-0.658072785,1.017164214,1.998583006,-1.018323277,-0.82493145,-0.56150807,-0.732337075
SNM_FY_M_03,-11.70401617,4.058949049,8.907383146,-16.9409202,-0.722210632,0.749514681,0.989256442,-0.604858618,-0.028966066,0.180737488,-0.083051214,0.086031066,-0.083139688,-0.573896353,-0.356919673,0.229022964,-0.288050166,0.281642025,0.922583623,-0.165590523,-0.97863595,0.143082679,-2.417655428,-1.167367662,0.946559441,0.567298809,-0.564524723,-0.249626339,-0.312434782,-0.541156209
TES_FY_M_01,-11.59313256,4.188679895,8.663151695,-15.97137164,-0.870264661,0.551449214,1.098680727,-0.662267505,0.18659401,0.22777196,-0.187671356,-0.04112588,0.069865715,-0.626103595,0.143327832,0.059658132,0.247199061,-0.310646814,-0.011299757,0.029040813,-0.790902201,0.109878855,-1.240210149,-0.512387381,0.145844533,-0.107298166,0.325104096,-0.171154679,-0.118018787,-0.182679127
TES_FY_M_02,-11.85957331,4.175268309,8.630888488,-16.56390558,-0.825839321,0.755701678,1.575315852,-0.553187752,0.173388667,0.302048341,0.068122597,0.35835682,0.191996532,-0.534974671,0.004918596,0.286547094,-0.040912086,0.337633576,0.788317141,-0.082048879,-0.953078496,-0.230354202,-0.984199405,-1.093375843,0.362340418,0.65205112,-0.708750711,-0.531271402,-0.354517642,-0.701071914
TES_FY_M_03,-12.15292071,4.185528742,9.603676572,-17.58314556,-0.808952411,0.364127485,0.459595241,-0.790117778,-0.234516944,0.068057671,-0.489622227,-0.600006668,-0.418708507,-1.398977308,0.472730112,-0.155183196,0.357175271,-0.760256988,-0.802885602,0.094568833,-1.229885745,-0.060432149,-2.040382422,-1.148044242,0.086433483,-1.624977773,0.954534096,0.429115061,-0.092688108,0.360217823
DRY_FY_N_01,-1.287787799,-30.50977161,-3.447545082,-1.603732516,-2.159664564,-0.086042794,0.189590196,-0.062805166,0.069103497,-0.239654188,-0.150818271,0.035750321,-0.424552025,-0.139287848,0.421989624,0.79226804,-2.75901551,-0.631780163,-0.559299848,-0.416058583,-0.027500853,-0.130887962,0.062851557,0.312577221,0.892862307,-0.995549386,-0.157785366,2.001418917,-3.593953984,0.157980902
DRY_FY_N_02,-1.301437016,-33.22394644,-3.822381566,-1.765166919,-2.252615634,-0.229479754,0.087808483,-0.07892466,0.016711851,-0.16807276,0.04076839,0.136420216,-0.203124978,-0.139177309,0.116029791,0.579658722,-2.165035225,-0.450628951,-0.419622467,-0.129015093,-0.149932735,0.097059932,-0.067486312,0.135255776,0.296415353,-0.383201099,-0.255946252,1.550222464,-2.424751305,-0.413571922
