Isolate,Genotype
ABQ_S,ABQ_S
BOU_C,BOU_C
BOU_S,BOU_S
BRG_F,BRG_F
DRY_N,DRY_N
GUN_F,GUN_F
LIM_F,LIM_F
LOG_S,LOG_S
MAL_C,MAL_C
MAL_M,MAL_M
MAL_N,MAL_N
MEE_F,MEE_F
MOB_C,MOB_C
MOB_S,MOB_S
MOB_G,MOB_G
MTB_F,MTB_F
PAS_F,PAS_F
REN_C,REN_C
REN_H,REN_H
REN_S,REN_S
RGG_C,RGG_C
RGG_S,RGG_S
SLV_M,SLV_M
SLV_F,SLV_F
SLV_O,SLV_O
SNM_M,SNM_M
SNM_C,SNM_C
SNM_S,SNM_S
TES_C,TES_C
TES_M,TES_M
TES_N,TES_N
TES_S,TES_S
TRE_F,TRE_F
TRQ_F,TRQ_F
