ABQ-S	BOU-S	TES-C	332.331	32.5312	34.9386	265.325	45.0206	361.137	262.744	340.17	59.3997
ABQ-S	BOU-S	TES-M	359.662	27.9548	24.6956	422.309	45.8261	393.725	425.45	381.05	58.3025
ABQ-S	BOU-S	TES-S	94.5655	87.4905	72.1201	49.3565	45.5969	66.2872	63.4977	66.4798	57.2608
ABQ-S	BOU-S	TRE-F	350.676	32.9807	33.8047	301.371	45.215	379.686	300.067	361.531	58.8025
ABQ-S	BOU-S	TRQ-F	355.369	31.4109	33.0821	302.859	46.1108	386.003	300.632	368.161	59.0108
ABQ-S	GUN-F	LOG-S	46.0305	236.827	45.7712	105.498	268.62	185.559	298.874	268.532	378.016
ABQ-S	GUN-F	MAL-C	46.376	50.1345	207.62	266.303	268.523	376.493	112.908	105.883	380.662
ABQ-S	GUN-F	MAL-M	74.7478	52.1768	115.989	434.156	266.488	395.781	369.927	224.518	372.565
ABQ-S	GUN-F	MOB-C	43.429	56.8206	197.244	250.795	268.245	364.027	107.872	114.257	377.433
ABQ-S	GUN-F	MOB-G	62.7922	117.253	74.026	235.177	259.817	319.219	278.862	247.243	373.896
ABQ-S	GUN-F	MOB-S	41.0082	237.266	43.3276	98.9849	267.175	180.828	288.756	264.224	379.766
ABQ-S	GUN-F	MTB-F	46.1258	53.4832	184.094	228.86	268.787	368.381	98.6039	130.971	375.773
ABQ-S	GUN-F	PAS-C	49.1449	45.3094	211.358	260.5	269.3	385.032	95.3126	105.303	380.717
ABQ-S	GUN-F	REN-C	148.917	48.9317	41.3432	472.25	243.664	451.18	479.735	350.807	352.82
ABQ-S	GUN-F	REN-HC	146.443	52.6044	42.2133	437.451	244.403	448.601	449.134	348.049	356.019
ABQ-S	GUN-F	REN-HS	54.5789	186.723	52.507	120.029	266.717	246.935	254.62	270.081	378.676
ABQ-S	GUN-F	REN-S	46.6156	189.808	55.3004	130.32	267.689	237.129	261.786	259.088	380.065
ABQ-S	GUN-F	RGG-C	48.7367	54.8583	205.094	244.322	267.953	374.318	94.045	113.853	381.495
ABQ-S	GUN-F	RGG-S	32.2153	335.329	33.7587	53.378	267.891	72.4096	356.878	266.174	377.759
ABQ-S	GUN-F	SLV-F	42.2513	38.6274	236.849	331.64	267.057	381.702	135.703	72.5082	378.801
ABQ-S	GUN-F	SLV-M	73.2559	50.8061	118.521	398.966	264.182	390.445	331.633	218.612	367.599
ABQ-S	GUN-F	SLV-O	173.91	12.3639	11.7523	869.624	83.8005	271.74	870.236	246.5	109.79
ABQ-S	GUN-F	SNM-C	49.2606	45.8776	201.863	288.339	268.203	378.927	130.756	115.594	375.592
ABQ-S	GUN-F	SNM-M	75.593	49.7691	116.188	421.126	266.539	396.025	354.493	226.264	369.68
