id,pop
RGG_EN_S_04,1
RGG_EN_S_05,1
RGG_EN_S_06,1
RGG_EN_S_07,1
TES_EN_S_01,1
TES_EN_S_02,1
TES_EN_S_04,1
TES_EN_S_05,1
TES_EN_S_07,1
PAS_EN_X_01,1
PAS_EN_X_04,1
PAS_EN_X_07,1
