id,pop
ABQ_FY_S_01,S
ABQ_FY_S_02,S
ABQ_FY_S_03,S
MAL_FY_C_01,C
MAL_FY_C_02,C
MAL_FY_C_03,C
MAL_FY_N_01,N
MAL_FY_N_02,N
MAL_FY_N_03,N
RGG_FY_C_01,C
RGG_FY_C_02,C
RGG_FY_C_03,C
RGG_FY_S_01,S
RGG_FY_S_02,S
RGG_FY_S_03,S
SLV_FY_O_01,O
SLV_FY_O_02,O
SLV_FY_O_03,O
SNM_FY_C_01,C
SNM_FY_C_02,C
SNM_FY_C_03,C
SNM_FY_S_01,S
SNM_FY_S_02,S
SNM_FY_S_03,S
TES_FY_C_01,C
TES_FY_C_02,C
TES_FY_C_03,C
TES_FY_N_01,N
TES_FY_N_02,N
TES_FY_N_03,N
TES_FY_S_01,S
TES_FY_S_02,S
TES_FY_S_03,S
MAL_FY_M_01,M
MAL_FY_M_02,M
MAL_FY_M_03,M
SLV_FY_M_01,M
SLV_FY_M_02,M
SLV_FY_M_03,M
SNM_FY_M_01,M
SNM_FY_M_02,M
SNM_FY_M_03,M
TES_FY_M_01,M
TES_FY_M_02,M
TES_FY_M_03,M
